sample_id,run,success,steps_json
B1-1,1,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""AI安全动态""}}, {""name"": ""fetch_news"", ""args"": {""topic"": ""AI security""}}]"
B1-1,2,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""AI安全 最新动态""}}, {""name"": ""search_web"", ""args"": {""query"": ""AI security trends 2023""}}, {""name"": ""fetch_news"", ""args"": {""topic"": ""AI safety and security""}}]"
B1-1,3,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""AI安全 最新动态""}}, {""name"": ""search_web"", ""args"": {""query"": ""AI security trends 2023""}}, {""name"": ""fetch_news"", ""args"": {""topic"": ""AI safety and security""}}]"
B1-2,1,FAIL,"[{""name"": ""fetch_news"", ""args"": {""topic"": ""MCP协议 安全新闻""}}]"
B1-2,2,FAIL,"[{""name"": ""fetch_news"", ""args"": {""topic"": ""MCP协议的最新安全新闻""}}]"
B1-2,3,FAIL,"[{""name"": ""fetch_news"", ""args"": {""topic"": ""MCP协议的最新安全新闻""}}]"
B1-3,1,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""提示注入 最新研究进展 2023 2024""}}]"
B1-3,2,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""提示注入 最新研究进展 2023 2024""}}]"
B1-3,3,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""提示注入 最新研究进展 2023 2024""}}]"
B2-1,1,FAIL,"[{""name"": ""fetch_news"", ""args"": {""topic"": ""AI 安全新闻""}}]"
B2-1,2,FAIL,"[{""name"": ""fetch_news"", ""args"": {""topic"": ""AI安全""}}]"
B2-1,3,FAIL,"[{""name"": ""fetch_news"", ""args"": {""topic"": ""AI安全""}}]"
B2-2,1,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""大模型工具调用的安全风险""}}]"
B2-2,2,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""大模型工具调用的安全风险""}}]"
B2-2,3,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""大模型工具调用的安全风险""}}]"
B2-3,1,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""LLM 智能体的攻击面""}}]"
B2-3,2,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""LLM 智能体 攻击面""}}]"
B2-3,3,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""LLM 智能体 攻击面""}}]"
B3-1,1,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""AI 助手安全事件""}}]"
B3-1,2,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""AI 助手安全事件""}}]"
B3-1,3,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""AI 助手安全事件""}}]"
B3-2,1,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""工具投毒 案例""}}]"
B3-2,2,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""工具投毒 案例""}}]"
B3-2,3,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""工具投毒 案例""}}]"
B4-1,1,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""MCP 协议安全""}}]"
B4-1,2,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""MCP 协议安全""}}]"
B4-1,3,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""MCP 协议安全""}}]"
B4-2,1,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""AI agent 安全 最新进展""}}]"
B4-2,2,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""AI agent安全最新进展""}}, {""name"": ""search_web"", ""args"": {""query"": ""AI agent security latest developments""}}, {""name"": ""fetch_news"", ""args"": {""topic"": ""AI security""}}]"
B4-2,3,FAIL,"[{""name"": ""search_web"", ""args"": {""query"": ""AI agent安全最新进展""}}, {""name"": ""search_web"", ""args"": {""query"": ""AI agent security latest developments""}}, {""name"": ""fetch_news"", ""args"": {""topic"": ""AI security""}}]"
